rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.98423454e+32		2.19600000e+06		6.71003812e-03
2.25e+14		2.27299871e+32		1.78400000e+06		9.46168875e-03
2.50e+14		2.64297876e+32		1.54000000e+06		1.27449246e-02
2.75e+14		3.10762523e+32		1.38600000e+06		1.66505938e-02
3.00e+14		3.65689550e+32		1.28600000e+06		2.11171789e-02
3.25e+14		4.31650645e+32		1.22000000e+06		2.62746465e-02
3.50e+14		5.07019894e+32		1.17800000e+06		3.19627419e-02
3.75e+14		5.94497971e+32		1.15200000e+06		3.83232397e-02
4.00e+14		6.91973256e+32		1.13600000e+06		4.52350731e-02
4.25e+14		8.02128686e+32		1.12800000e+06		5.28079449e-02
4.50e+14		9.22348574e+32		1.12600000e+06		6.08304470e-02
4.75e+14		1.05510310e+33		1.12800000e+06		6.94624531e-02
5.00e+14		1.19724380e+33		1.13200000e+06		7.85417346e-02
5.50e+14		1.51214965e+33		1.14600000e+06		9.79883567e-02
6.00e+14		1.85841852e+33		1.16200000e+06		1.18768621e-01
6.50e+14		2.22357099e+33		1.18000000e+06		1.39937242e-01
7.00e+14		2.59260992e+33		1.19400000e+06		1.61249052e-01
7.50e+14		2.95019520e+33		1.20600000e+06		1.81663535e-01
8.00e+14		3.28300783e+33		1.21600000e+06		2.00494591e-01
8.50e+14		3.58164427e+33		1.22200000e+06		2.17658464e-01
9.00e+14		3.84149630e+33		1.22600000e+06		2.32688150e-01
9.50e+14		4.06247593e+33		1.22600000e+06		2.46073388e-01
1.00e+15		4.24791906e+33		1.22600000e+06		2.57306099e-01
1.05e+15		4.40308639e+33		1.22400000e+06		2.67140729e-01
1.10e+15		4.53379207e+33		1.22200000e+06		2.75521003e-01
1.20e+15		4.74225569e+33		1.21400000e+06		2.90088557e-01
1.30e+15		4.90390008e+33		1.20200000e+06		3.02971281e-01
1.40e+15		5.03435917e+33		1.19000000e+06		3.14167715e-01
1.50e+15		5.14031218e+33		1.17400000e+06		3.25151466e-01
1.60e+15		5.22475821e+33		1.15800000e+06		3.35059515e-01
1.70e+15		5.28969963e+33		1.14200000e+06		3.43976858e-01
1.80e+15		5.33717072e+33		1.12400000e+06		3.52621754e-01
1.90e+15		5.36950595e+33		1.10800000e+06		3.59880973e-01
2.00e+15		5.38923557e+33		1.09400000e+06		3.65825659e-01
2.10e+15		5.39890674e+33		1.07800000e+06		3.71921584e-01
2.20e+15		5.40092091e+33		1.06600000e+06		3.76248633e-01
2.30e+15		5.39737192e+33		1.05400000e+06		3.80282248e-01
2.40e+15		5.39001954e+33		1.04400000e+06		3.83401810e-01
2.50e+15		5.38026003e+33		1.03400000e+06		3.86408833e-01
2.60e+15		5.36914486e+33		1.02600000e+06		3.88617254e-01
2.70e+15		5.35747605e+33		1.02000000e+06		3.90053684e-01
2.80e+15		5.34578948e+33		1.01400000e+06		3.91505813e-01
2.90e+15		5.33445251e+33		1.01000000e+06		3.92222765e-01
3.00e+15		5.32371308e+33		1.00600000e+06		3.92989528e-01
