rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.30821763e+32		1.49400000e+06		1.64440123e-02
2.25e+14		4.03011363e+32		1.39000000e+06		2.15311293e-02
2.50e+14		4.85905381e+32		1.32600000e+06		2.72127544e-02
2.75e+14		5.80923882e+32		1.28800000e+06		3.34940516e-02
3.00e+14		6.88488784e+32		1.26600000e+06		4.03856876e-02
3.25e+14		8.08249735e+32		1.25400000e+06		4.78643706e-02
3.50e+14		9.39251523e+32		1.24800000e+06		5.58896822e-02
3.75e+14		1.08010172e+33		1.24800000e+06		6.42709012e-02
4.00e+14		1.22908699e+33		1.25000000e+06		7.30191757e-02
4.25e+14		1.38434647e+33		1.25400000e+06		8.19806921e-02
4.50e+14		1.54392404e+33		1.26000000e+06		9.09954550e-02
4.75e+14		1.70590890e+33		1.26400000e+06		1.00224311e-01
5.00e+14		1.86847873e+33		1.27000000e+06		1.09256870e-01
5.50e+14		2.18891551e+33		1.28000000e+06		1.26994042e-01
6.00e+14		2.49438399e+33		1.28800000e+06		1.43817510e-01
6.50e+14		2.77755237e+33		1.29400000e+06		1.59401461e-01
7.00e+14		3.03440794e+33		1.29600000e+06		1.73873454e-01
7.50e+14		3.26360474e+33		1.29600000e+06		1.87006573e-01
8.00e+14		3.46565684e+33		1.29400000e+06		1.98891214e-01
8.50e+14		3.64225409e+33		1.29200000e+06		2.09349556e-01
9.00e+14		3.79567756e+33		1.28800000e+06		2.18845574e-01
9.50e+14		3.92842218e+33		1.28200000e+06		2.27559226e-01
1.00e+15		4.04297367e+33		1.27800000e+06		2.34927781e-01
1.05e+15		4.14164805e+33		1.27200000e+06		2.41796716e-01
1.10e+15		4.22654297e+33		1.26600000e+06		2.47922476e-01
1.20e+15		4.36220073e+33		1.25200000e+06		2.58741228e-01
1.30e+15		4.46209091e+33		1.24000000e+06		2.67227437e-01
1.40e+15		4.53522303e+33		1.22800000e+06		2.74261344e-01
1.50e+15		4.58822260e+33		1.21600000e+06		2.80204575e-01
1.60e+15		4.62595526e+33		1.20400000e+06		2.85324628e-01
1.70e+15		4.65202168e+33		1.19200000e+06		2.89820961e-01
1.80e+15		4.66910466e+33		1.18200000e+06		2.93346189e-01
1.90e+15		4.67921642e+33		1.17200000e+06		2.96489855e-01
2.00e+15		4.68388970e+33		1.16200000e+06		2.99340066e-01
2.10e+15		4.68429935e+33		1.15200000e+06		3.01964911e-01
2.20e+15		4.68135427e+33		1.14400000e+06		3.03885377e-01
2.30e+15		4.67576115e+33		1.13600000e+06		3.05659786e-01
2.40e+15		4.66807507e+33		1.12800000e+06		3.07321574e-01
2.50e+15		4.65873597e+33		1.12000000e+06		3.08897499e-01
2.60e+15		4.64809723e+33		1.11200000e+06		3.10409307e-01
2.70e+15		4.63644286e+33		1.10600000e+06		3.11310739e-01
2.80e+15		4.62398843e+33		1.09800000e+06		3.12736604e-01
2.90e+15		4.61092923e+33		1.09200000e+06		3.13566845e-01
3.00e+15		4.59740788e+33		1.08600000e+06		3.14374657e-01
