rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.24668167e+32		3.34600000e+06		4.98631743e-03
2.25e+14		2.32320644e+32		2.62400000e+06		6.57488695e-03
2.50e+14		2.54691755e+32		2.07800000e+06		9.10193356e-03
2.75e+14		2.93488601e+32		1.71200000e+06		1.27306857e-02
3.00e+14		3.48956929e+32		1.48400000e+06		1.74623321e-02
3.25e+14		4.20639343e+32		1.34600000e+06		2.32075422e-02
3.50e+14		5.07913326e+32		1.26400000e+06		2.98405519e-02
3.75e+14		6.09260934e+32		1.21400000e+06		3.72691049e-02
4.00e+14		7.23557666e+32		1.18600000e+06		4.53056930e-02
4.25e+14		8.48420706e+32		1.17200000e+06		5.37586019e-02
4.50e+14		9.81958770e+32		1.16600000e+06		6.25401647e-02
4.75e+14		1.12201982e+33		1.16600000e+06		7.14605404e-02
5.00e+14		1.26648403e+33		1.16800000e+06		8.05232312e-02
5.50e+14		1.56387688e+33		1.17600000e+06		9.87551048e-02
6.00e+14		1.86051353e+33		1.18600000e+06		1.16496388e-01
6.50e+14		2.14765131e+33		1.19600000e+06		1.33351194e-01
7.00e+14		2.42110261e+33		1.20400000e+06		1.49331362e-01
7.50e+14		2.67521260e+33		1.20800000e+06		1.64458258e-01
8.00e+14		2.90981515e+33		1.21200000e+06		1.78290047e-01
8.50e+14		3.12405955e+33		1.21400000e+06		1.91101869e-01
9.00e+14		3.31804034e+33		1.21400000e+06		2.02967869e-01
9.50e+14		3.49263163e+33		1.21200000e+06		2.14000349e-01
1.00e+15		3.64975773e+33		1.21000000e+06		2.23997403e-01
1.05e+15		3.79004257e+33		1.20600000e+06		2.33378636e-01
1.10e+15		3.91463454e+33		1.20200000e+06		2.41852774e-01
1.20e+15		4.12424577e+33		1.19200000e+06		2.56940521e-01
1.30e+15		4.28886337e+33		1.18200000e+06		2.69456741e-01
1.40e+15		4.41704951e+33		1.17000000e+06		2.80356561e-01
1.50e+15		4.51624849e+33		1.15800000e+06		2.89623360e-01
1.60e+15		4.59234090e+33		1.14600000e+06		2.97586907e-01
1.70e+15		4.65016874e+33		1.13400000e+06		3.04522913e-01
1.80e+15		4.69346431e+33		1.12400000e+06		3.10092688e-01
1.90e+15		4.72513982e+33		1.11200000e+06		3.15554367e-01
2.00e+15		4.74751094e+33		1.10200000e+06		3.19925382e-01
2.10e+15		4.76242590e+33		1.09200000e+06		3.23869396e-01
2.20e+15		4.76735767e+33		1.08800000e+06		3.25396710e-01
2.30e+15		4.76735759e+33		1.08800000e+06		3.25396705e-01
2.40e+15		4.76735751e+33		1.08800000e+06		3.25396700e-01
2.50e+15		4.76735290e+33		1.08600000e+06		3.25995642e-01
2.60e+15		4.76735282e+33		1.08600000e+06		3.25995636e-01
2.70e+15		4.76735274e+33		1.08600000e+06		3.25995631e-01
2.80e+15		4.76735266e+33		1.08600000e+06		3.25995626e-01
2.90e+15		4.76735259e+33		1.08600000e+06		3.25995620e-01
3.00e+15		4.76735251e+33		1.08600000e+06		3.25995615e-01
