rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.92082283e+32		2.35000000e+06		6.06993115e-03
2.25e+14		2.09929353e+32		1.94800000e+06		8.00292104e-03
2.50e+14		2.33611143e+32		1.67800000e+06		1.03386996e-02
2.75e+14		2.64495911e+32		1.48800000e+06		1.32001951e-02
3.00e+14		3.02211129e+32		1.35600000e+06		1.65506510e-02
3.25e+14		3.48806685e+32		1.26200000e+06		2.05253118e-02
3.50e+14		4.03382887e+32		1.19800000e+06		2.50048912e-02
3.75e+14		4.68220019e+32		1.15200000e+06		3.01829592e-02
4.00e+14		5.42042845e+32		1.12200000e+06		3.58760877e-02
4.25e+14		6.27356933e+32		1.10200000e+06		4.22763442e-02
4.50e+14		7.22508137e+32		1.09200000e+06		4.91342603e-02
4.75e+14		8.30089953e+32		1.08600000e+06		5.67622563e-02
5.00e+14		9.47989700e+32		1.08600000e+06		6.48243411e-02
5.50e+14		1.21942474e+33		1.09200000e+06		8.29271389e-02
6.00e+14		1.53406030e+33		1.10800000e+06		1.02817488e-01
6.50e+14		1.88439308e+33		1.12600000e+06		1.24278908e-01
7.00e+14		2.25810631e+33		1.14400000e+06		1.46582687e-01
7.50e+14		2.63931236e+33		1.16200000e+06		1.68674325e-01
8.00e+14		3.01094399e+33		1.17600000e+06		1.90133951e-01
8.50e+14		3.35760724e+33		1.18600000e+06		2.10237179e-01
9.00e+14		3.66794817e+33		1.19400000e+06		2.28130410e-01
9.50e+14		3.93594948e+33		1.19800000e+06		2.43981566e-01
1.00e+15		4.16089061e+33		1.20000000e+06		2.57495338e-01
1.05e+15		4.34624005e+33		1.20000000e+06		2.68965627e-01
1.10e+15		4.49798560e+33		1.19800000e+06		2.78821051e-01
1.20e+15		4.72751794e+33		1.19400000e+06		2.94031038e-01
1.30e+15		4.89474803e+33		1.18600000e+06		3.06485525e-01
1.40e+15		5.02553599e+33		1.17600000e+06		3.17350644e-01
1.50e+15		5.13076574e+33		1.16200000e+06		3.27899214e-01
1.60e+15		5.21457243e+33		1.14800000e+06		3.37319256e-01
1.70e+15		5.27911772e+33		1.13400000e+06		3.45710532e-01
1.80e+15		5.32640992e+33		1.11800000e+06		3.53799407e-01
1.90e+15		5.35871685e+33		1.10200000e+06		3.61113341e-01
2.00e+15		5.37851300e+33		1.08800000e+06		3.67111209e-01
2.10e+15		5.38828387e+33		1.07400000e+06		3.72572250e-01
2.20e+15		5.39037148e+33		1.06000000e+06		3.77639269e-01
2.30e+15		5.38684076e+33		1.05000000e+06		3.80986122e-01
2.40e+15		5.37943005e+33		1.04000000e+06		3.84120286e-01
2.50e+15		5.36953180e+33		1.03000000e+06		3.87135958e-01
2.60e+15		5.35821038e+33		1.02200000e+06		3.89343728e-01
2.70e+15		5.34625910e+33		1.01600000e+06		3.90769458e-01
2.80e+15		5.33425373e+33		1.01000000e+06		3.92208150e-01
2.90e+15		5.32257450e+33		1.00400000e+06		3.93688160e-01
3.00e+15		5.31147447e+33		1.00000000e+06		3.94438607e-01
