rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.29329070e+32		1.19000000e+06		2.67921553e-02
2.25e+14		5.74684087e+32		1.19400000e+06		3.57428487e-02
2.50e+14		7.36540697e+32		1.21000000e+06		4.52038782e-02
2.75e+14		9.12095240e+32		1.23200000e+06		5.49786155e-02
3.00e+14		1.09859611e+33		1.25200000e+06		6.51625460e-02
3.25e+14		1.29342430e+33		1.27400000e+06		7.53938471e-02
3.50e+14		1.49412260e+33		1.29200000e+06		8.58792094e-02
3.75e+14		1.69843214e+33		1.30800000e+06		9.64283582e-02
4.00e+14		1.90429568e+33		1.32400000e+06		1.06809705e-01
4.25e+14		2.10987727e+33		1.33800000e+06		1.17102293e-01
4.50e+14		2.31352955e+33		1.35000000e+06		1.27264009e-01
4.75e+14		2.51380575e+33		1.36000000e+06		1.37264150e-01
5.00e+14		2.70947326e+33		1.37000000e+06		1.46868487e-01
5.50e+14		3.08299138e+33		1.38200000e+06		1.65664168e-01
6.00e+14		3.35522480e+33		1.38600000e+06		1.79772274e-01
6.50e+14		3.50715025e+33		1.39000000e+06		1.87371654e-01
7.00e+14		3.59206599e+33		1.38800000e+06		1.92184854e-01
7.50e+14		3.66160843e+33		1.38600000e+06		1.96188247e-01
8.00e+14		3.72076810e+33		1.38200000e+06		1.99935024e-01
8.50e+14		3.77185865e+33		1.37800000e+06		2.03268700e-01
9.00e+14		3.81638199e+33		1.37200000e+06		2.06567524e-01
9.50e+14		3.85545850e+33		1.36400000e+06		2.09906545e-01
1.00e+15		3.88998631e+33		1.35800000e+06		2.12722104e-01
1.05e+15		3.92070325e+33		1.35000000e+06		2.15672376e-01
1.10e+15		3.94340147e+33		1.34400000e+06		2.17889370e-01
1.20e+15		3.97137179e+33		1.33000000e+06		2.21744687e-01
1.30e+15		3.98968457e+33		1.31800000e+06		2.24795425e-01
1.40e+15		4.00071326e+33		1.30400000e+06		2.27836947e-01
1.50e+15		4.00584955e+33		1.28800000e+06		2.30963360e-01
1.60e+15		4.00659693e+33		1.26800000e+06		2.34650086e-01
1.70e+15		4.00455430e+33		1.25200000e+06		2.37527652e-01
1.80e+15		4.00114143e+33		1.23000000e+06		2.41570061e-01
1.90e+15		3.99746355e+33		1.21200000e+06		2.44932384e-01
2.00e+15		3.99421050e+33		1.19000000e+06		2.49257540e-01
2.10e+15		3.99412004e+33		1.18800000e+06		2.49671511e-01
2.20e+15		3.99412006e+33		1.18800000e+06		2.49671512e-01
2.30e+15		3.99412008e+33		1.18800000e+06		2.49671514e-01
2.40e+15		3.99412010e+33		1.18800000e+06		2.49671515e-01
2.50e+15		3.99412012e+33		1.18800000e+06		2.49671516e-01
2.60e+15		3.99412014e+33		1.18800000e+06		2.49671517e-01
2.70e+15		3.99411266e+33		1.18600000e+06		2.50092081e-01
2.80e+15		3.99411268e+33		1.18600000e+06		2.50092082e-01
2.90e+15		3.99411270e+33		1.18600000e+06		2.50092083e-01
3.00e+15		3.99411272e+33		1.18600000e+06		2.50092084e-01
