rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.99919623e+32		1.17400000e+06		2.52969950e-02
2.25e+14		5.53556634e+32		1.18000000e+06		3.48372905e-02
2.50e+14		7.21828116e+32		1.19800000e+06		4.47446684e-02
2.75e+14		9.06769993e+32		1.22200000e+06		5.51049042e-02
3.00e+14		1.09861757e+33		1.24600000e+06		6.54776094e-02
3.25e+14		1.29869856e+33		1.26800000e+06		7.60594924e-02
3.50e+14		1.49903572e+33		1.28800000e+06		8.64291886e-02
3.75e+14		1.70074609e+33		1.30600000e+06		9.67076038e-02
4.00e+14		1.89789931e+33		1.32200000e+06		1.06611985e-01
4.25e+14		2.09161838e+33		1.33400000e+06		1.16436981e-01
4.50e+14		2.27781118e+33		1.34600000e+06		1.25671552e-01
4.75e+14		2.45765599e+33		1.35600000e+06		1.34594006e-01
5.00e+14		2.62850889e+33		1.36200000e+06		1.43316654e-01
5.50e+14		2.94521532e+33		1.37200000e+06		1.59414293e-01
6.00e+14		3.22687264e+33		1.37800000e+06		1.73898936e-01
6.50e+14		3.47471079e+33		1.38000000e+06		1.86983762e-01
7.00e+14		3.69119503e+33		1.37800000e+06		1.98921668e-01
7.50e+14		3.87934957e+33		1.37600000e+06		2.09365346e-01
8.00e+14		4.04231174e+33		1.37000000e+06		2.19115729e-01
8.50e+14		4.18312789e+33		1.36400000e+06		2.27746174e-01
9.00e+14		4.30460135e+33		1.35600000e+06		2.35742327e-01
9.50e+14		4.40925892e+33		1.34800000e+06		2.42906998e-01
1.00e+15		4.49932636e+33		1.34200000e+06		2.48977039e-01
1.05e+15		4.57674442e+33		1.33200000e+06		2.55162444e-01
1.10e+15		4.64320902e+33		1.32600000e+06		2.60039324e-01
1.20e+15		4.74888265e+33		1.30600000e+06		2.70030350e-01
1.30e+15		4.82574983e+33		1.28600000e+06		2.78668675e-01
1.40e+15		4.88076552e+33		1.27600000e+06		2.84054444e-01
1.50e+15		4.91910570e+33		1.26000000e+06		2.89921169e-01
1.60e+15		4.94463123e+33		1.24400000e+06		2.95173826e-01
1.70e+15		4.96025992e+33		1.23200000e+06		2.98990951e-01
1.80e+15		4.96824164e+33		1.21200000e+06		3.04413850e-01
1.90e+15		4.97020532e+33		1.20000000e+06		3.07579511e-01
2.00e+15		4.96740591e+33		1.18800000e+06		3.10511384e-01
2.10e+15		4.96102411e+33		1.17800000e+06		3.12744993e-01
2.20e+15		4.95171637e+33		1.16600000e+06		3.15370835e-01
2.30e+15		4.94018329e+33		1.15600000e+06		3.17358070e-01
2.40e+15		4.92686669e+33		1.15000000e+06		3.18153928e-01
2.50e+15		4.91227387e+33		1.13800000e+06		3.20556530e-01
2.60e+15		4.89657358e+33		1.13000000e+06		3.21794161e-01
2.70e+15		4.88008595e+33		1.12400000e+06		3.22422601e-01
2.80e+15		4.86316087e+33		1.11400000e+06		3.24188618e-01
2.90e+15		4.84561107e+33		1.10800000e+06		3.24767910e-01
3.00e+15		4.82799743e+33		1.09800000e+06		3.26534451e-01
