rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		6.19973843e+32		1.30000000e+06		3.54155778e-02
2.25e+14		7.98628258e+32		1.31000000e+06		4.52728354e-02
2.50e+14		9.77958950e+32		1.32600000e+06		5.47698333e-02
2.75e+14		1.15775357e+33		1.34200000e+06		6.40660475e-02
3.00e+14		1.33660372e+33		1.35600000e+06		7.31993617e-02
3.25e+14		1.51328162e+33		1.36800000e+06		8.21481858e-02
3.50e+14		1.68690512e+33		1.37800000e+06		9.09087645e-02
3.75e+14		1.85690785e+33		1.38800000e+06		9.93493899e-02
4.00e+14		2.02282525e+33		1.39400000e+06		1.07760577e-01
4.25e+14		2.18436380e+33		1.40000000e+06		1.15867398e-01
4.50e+14		2.34126838e+33		1.40400000e+06		1.23836426e-01
4.75e+14		2.49352195e+33		1.40800000e+06		1.31514869e-01
5.00e+14		2.64083535e+33		1.41000000e+06		1.39086997e-01
5.50e+14		2.92088182e+33		1.41200000e+06		1.53618531e-01
6.00e+14		3.18115736e+33		1.41000000e+06		1.67544570e-01
6.50e+14		3.42160339e+33		1.40600000e+06		1.80721018e-01
7.00e+14		3.64253471e+33		1.40200000e+06		1.92938991e-01
7.50e+14		3.84454998e+33		1.39400000e+06		2.04808065e-01
8.00e+14		4.02827844e+33		1.38600000e+06		2.15834353e-01
8.50e+14		4.19446380e+33		1.37800000e+06		2.26043254e-01
9.00e+14		4.34433536e+33		1.36800000e+06		2.35831364e-01
9.50e+14		4.47857238e+33		1.35800000e+06		2.44908662e-01
1.00e+15		4.59855644e+33		1.34800000e+06		2.53335439e-01
1.05e+15		4.70517592e+33		1.33800000e+06		2.61146416e-01
1.10e+15		4.79958378e+33		1.32800000e+06		2.68392156e-01
1.20e+15		4.95594678e+33		1.30600000e+06		2.81804403e-01
1.30e+15		5.07546320e+33		1.28000000e+06		2.94462525e-01
1.40e+15		5.16505574e+33		1.26200000e+06		3.03934483e-01
1.50e+15		5.23063857e+33		1.23800000e+06		3.13760584e-01
1.60e+15		5.27690765e+33		1.22000000e+06		3.21206245e-01
1.70e+15		5.30813586e+33		1.20400000e+06		3.27400894e-01
1.80e+15		5.32733071e+33		1.18800000e+06		3.33010199e-01
1.90e+15		5.33717038e+33		1.17400000e+06		3.37603770e-01
2.00e+15		5.33971768e+33		1.16000000e+06		3.41841373e-01
2.10e+15		5.33655309e+33		1.14800000e+06		3.45209917e-01
2.20e+15		5.32921304e+33		1.13800000e+06		3.47764413e-01
2.30e+15		5.31877343e+33		1.12400000e+06		3.51406263e-01
2.40e+15		5.30579251e+33		1.11400000e+06		3.53695382e-01
2.50e+15		5.29103572e+33		1.10400000e+06		3.55906515e-01
2.60e+15		5.27496214e+33		1.09600000e+06		3.57415276e-01
2.70e+15		5.25822545e+33		1.08600000e+06		3.59561923e-01
2.80e+15		5.24086287e+33		1.07800000e+06		3.61034208e-01
2.90e+15		5.23112926e+33		1.07400000e+06		3.61705813e-01
3.00e+15		5.23112934e+33		1.07400000e+06		3.61705818e-01
