rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.93235227e+32		1.25800000e+06		2.91164058e-02
2.25e+14		6.38627257e+32		1.25800000e+06		3.76991126e-02
2.50e+14		7.87494775e+32		1.26600000e+06		4.61932260e-02
2.75e+14		9.39874371e+32		1.27600000e+06		5.46995119e-02
3.00e+14		1.09466897e+33		1.28800000e+06		6.31148076e-02
3.25e+14		1.25088776e+33		1.30000000e+06		7.14561002e-02
3.50e+14		1.40741780e+33		1.31000000e+06		7.97840468e-02
3.75e+14		1.56335436e+33		1.31800000e+06		8.80858878e-02
4.00e+14		1.71797012e+33		1.32600000e+06		9.62135856e-02
4.25e+14		1.87045279e+33		1.33400000e+06		1.04125054e-01
4.50e+14		2.02041838e+33		1.34000000e+06		1.11969782e-01
4.75e+14		2.16737686e+33		1.34400000e+06		1.19756606e-01
5.00e+14		2.31076194e+33		1.34800000e+06		1.27300360e-01
5.50e+14		2.58617013e+33		1.35200000e+06		1.42051138e-01
6.00e+14		2.84476563e+33		1.35400000e+06		1.56024265e-01
6.50e+14		3.08564630e+33		1.35400000e+06		1.69235627e-01
7.00e+14		3.30848620e+33		1.35200000e+06		1.81725952e-01
7.50e+14		3.51324664e+33		1.34800000e+06		1.93545494e-01
8.00e+14		3.70066134e+33		1.34200000e+06		2.04781700e-01
8.50e+14		3.87115022e+33		1.33600000e+06		2.15178009e-01
9.00e+14		4.02557773e+33		1.32800000e+06		2.25109830e-01
9.50e+14		4.16515781e+33		1.32000000e+06		2.34326738e-01
1.00e+15		4.29053640e+33		1.31200000e+06		2.42852217e-01
1.05e+15		4.40293518e+33		1.30400000e+06		2.50743116e-01
1.10e+15		4.50340224e+33		1.29400000e+06		2.58446575e-01
1.20e+15		4.67229126e+33		1.27600000e+06		2.71921502e-01
1.30e+15		4.80452548e+33		1.25600000e+06		2.84069874e-01
1.40e+15		4.90663874e+33		1.24000000e+06		2.93850691e-01
1.50e+15		4.98422973e+33		1.21400000e+06		3.04890353e-01
1.60e+15		5.04192391e+33		1.19800000e+06		3.12538690e-01
1.70e+15		5.08362810e+33		1.18200000e+06		3.19389484e-01
1.80e+15		5.11241129e+33		1.16800000e+06		3.25047822e-01
1.90e+15		5.13096783e+33		1.15400000e+06		3.30185351e-01
2.00e+15		5.14148008e+33		1.14000000e+06		3.34925045e-01
2.10e+15		5.14541345e+33		1.12800000e+06		3.38747030e-01
2.20e+15		5.14428840e+33		1.11600000e+06		3.42314607e-01
2.30e+15		5.13908715e+33		1.10400000e+06		3.45685551e-01
2.40e+15		5.13093264e+33		1.09400000e+06		3.48291847e-01
2.50e+15		5.12030240e+33		1.08400000e+06		3.50776626e-01
2.60e+15		5.10781294e+33		1.07600000e+06		3.52522653e-01
2.70e+15		5.09408800e+33		1.06600000e+06		3.54873489e-01
2.80e+15		5.07940615e+33		1.05800000e+06		3.56526315e-01
2.90e+15		5.06397683e+33		1.05200000e+06		3.57470566e-01
3.00e+15		5.04826453e+33		1.04400000e+06		3.59092160e-01
