rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.79142145e+32		2.50400000e+06		5.31285255e-03
2.25e+14		1.94122383e+32		2.04200000e+06		7.05966665e-03
2.50e+14		2.14821140e+32		1.73200000e+06		9.21071719e-03
2.75e+14		2.42439062e+32		1.51600000e+06		1.18759323e-02
3.00e+14		2.76597858e+32		1.36800000e+06		1.50150586e-02
3.25e+14		3.19090019e+32		1.26400000e+06		1.87469432e-02
3.50e+14		3.69008448e+32		1.19200000e+06		2.29892272e-02
3.75e+14		4.28299535e+32		1.14200000e+06		2.78513222e-02
4.00e+14		4.95703841e+32		1.10800000e+06		3.32236117e-02
4.25e+14		5.73329727e+32		1.08600000e+06		3.92047738e-02
4.50e+14		6.59617862e+32		1.07400000e+06		4.56091989e-02
4.75e+14		7.56764222e+32		1.06600000e+06		5.27190657e-02
5.00e+14		8.62887247e+32		1.06400000e+06		6.02249905e-02
5.50e+14		1.10623437e+33		1.07000000e+06		7.67763901e-02
6.00e+14		1.38808721e+33		1.08200000e+06		9.52694831e-02
6.50e+14		1.70377430e+33		1.09800000e+06		1.15232249e-01
7.00e+14		2.04513068e+33		1.11600000e+06		1.36088424e-01
7.50e+14		2.40086176e+33		1.13200000e+06		1.57501628e-01
8.00e+14		2.75773607e+33		1.14800000e+06		1.78391900e-01
8.50e+14		3.10230671e+33		1.16000000e+06		1.98605404e-01
9.00e+14		3.42284487e+33		1.16800000e+06		2.17624953e-01
9.50e+14		3.71079194e+33		1.17400000e+06		2.34726880e-01
1.00e+15		3.96152725e+33		1.17800000e+06		2.49736301e-01
1.05e+15		4.17431373e+33		1.18000000e+06		2.62704430e-01
1.10e+15		4.35158998e+33		1.18000000e+06		2.73861056e-01
1.20e+15		4.61856749e+33		1.17600000e+06		2.91651551e-01
1.30e+15		4.80397742e+33		1.17000000e+06		3.04915438e-01
1.40e+15		4.94065547e+33		1.16000000e+06		3.16293960e-01
1.50e+15		5.04671783e+33		1.15000000e+06		3.25893352e-01
1.60e+15		5.13027669e+33		1.14000000e+06		3.34195236e-01
1.70e+15		5.19504120e+33		1.12600000e+06		3.42621745e-01
1.80e+15		5.24338665e+33		1.11200000e+06		3.50163936e-01
1.90e+15		5.27747219e+33		1.09800000e+06		3.56934010e-01
2.00e+15		5.29947542e+33		1.08400000e+06		3.63051235e-01
2.10e+15		5.31156288e+33		1.07200000e+06		3.67952586e-01
2.20e+15		5.31578346e+33		1.05800000e+06		3.73117769e-01
2.30e+15		5.31400193e+33		1.04600000e+06		3.77271798e-01
2.40e+15		5.30783287e+33		1.03600000e+06		3.80471212e-01
2.50e+15		5.29862531e+33		1.02600000e+06		3.83513068e-01
2.60e+15		5.28747070e+33		1.01800000e+06		3.85713211e-01
2.70e+15		5.27522126e+33		1.01000000e+06		3.87867708e-01
2.80e+15		5.26252156e+33		1.00200000e+06		3.90023239e-01
2.90e+15		5.24983908e+33		9.96000000e+05		3.91427173e-01
3.00e+15		5.23751245e+33		9.92000000e+05		3.92082730e-01
