rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.29504375e+32		1.19200000e+06		2.67581236e-02
2.25e+14		5.74908120e+32		1.19600000e+06		3.56969886e-02
2.50e+14		7.36627974e+32		1.21200000e+06		4.51346319e-02
2.75e+14		9.12276555e+32		1.23200000e+06		5.49895447e-02
3.00e+14		1.09884011e+33		1.25400000e+06		6.50730680e-02
3.25e+14		1.29356302e+33		1.27400000e+06		7.54019332e-02
3.50e+14		1.49430438e+33		1.29400000e+06		8.57569074e-02
3.75e+14		1.69868071e+33		1.30800000e+06		9.64424710e-02
4.00e+14		1.90447091e+33		1.32400000e+06		1.06819533e-01
4.25e+14		2.11003854e+33		1.33800000e+06		1.17111243e-01
4.50e+14		2.31373854e+33		1.35000000e+06		1.27275505e-01
4.75e+14		2.51395064e+33		1.36200000e+06		1.37070487e-01
5.00e+14		2.70957256e+33		1.36800000e+06		1.47088597e-01
5.50e+14		3.08310267e+33		1.38200000e+06		1.65670148e-01
6.00e+14		3.42802956e+33		1.39000000e+06		1.83144582e-01
6.50e+14		3.74074660e+33		1.39200000e+06		1.99564539e-01
7.00e+14		4.01277605e+33		1.39400000e+06		2.13769857e-01
7.50e+14		4.23122215e+33		1.39000000e+06		2.26055639e-01
8.00e+14		4.41752394e+33		1.38600000e+06		2.36690049e-01
8.50e+14		4.57244536e+33		1.38000000e+06		2.46055885e-01
9.00e+14		4.69747500e+33		1.37400000e+06		2.53887934e-01
9.50e+14		4.80504331e+33		1.36600000e+06		2.61222707e-01
1.00e+15		4.89812785e+33		1.36000000e+06		2.67457959e-01
1.05e+15		4.97864662e+33		1.35000000e+06		2.73868354e-01
1.10e+15		5.04811855e+33		1.34200000e+06		2.79345286e-01
1.20e+15		5.15893388e+33		1.32400000e+06		2.89358533e-01
1.30e+15		5.23913355e+33		1.30600000e+06		2.97906933e-01
1.40e+15		5.29546731e+33		1.28800000e+06		3.05318237e-01
1.50e+15		5.33341930e+33		1.26800000e+06		3.12356676e-01
1.60e+15		5.35663153e+33		1.25400000e+06		3.17218535e-01
1.70e+15		5.36868853e+33		1.23600000e+06		3.22562633e-01
1.80e+15		5.37246720e+33		1.22400000e+06		3.25954268e-01
1.90e+15		5.37137978e+33		1.21400000e+06		3.28572711e-01
2.00e+15		5.37137980e+33		1.21400000e+06		3.28572712e-01
2.10e+15		5.37137981e+33		1.21400000e+06		3.28572713e-01
2.20e+15		5.37137983e+33		1.21400000e+06		3.28572714e-01
2.30e+15		5.37137984e+33		1.21400000e+06		3.28572715e-01
2.40e+15		5.37137986e+33		1.21400000e+06		3.28572716e-01
2.50e+15		5.37137987e+33		1.21400000e+06		3.28572717e-01
2.60e+15		5.37137989e+33		1.21400000e+06		3.28572718e-01
2.70e+15		5.37137991e+33		1.21400000e+06		3.28572719e-01
2.80e+15		5.37137992e+33		1.21400000e+06		3.28572720e-01
2.90e+15		5.37137994e+33		1.21400000e+06		3.28572721e-01
3.00e+15		5.37137995e+33		1.21400000e+06		3.28572722e-01
