rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.14644703e+32		1.55200000e+06		1.02705281e-02
2.25e+14		2.86147717e+32		1.33200000e+06		1.59532944e-02
2.50e+14		3.70634511e+32		1.23800000e+06		2.22325628e-02
2.75e+14		4.66534619e+32		1.19400000e+06		2.90164225e-02
3.00e+14		5.73594253e+32		1.17400000e+06		3.62828182e-02
3.25e+14		6.90858466e+32		1.16600000e+06		4.40002203e-02
3.50e+14		8.17303945e+32		1.16800000e+06		5.19642986e-02
3.75e+14		9.51706611e+32		1.17200000e+06		6.03031214e-02
4.00e+14		1.09262384e+33		1.18000000e+06		6.87627098e-02
4.25e+14		1.23879813e+33		1.18800000e+06		7.74369817e-02
4.50e+14		1.38882850e+33		1.19600000e+06		8.62346410e-02
4.75e+14		1.54156352e+33		1.20600000e+06		9.49245252e-02
5.00e+14		1.69568280e+33		1.21400000e+06		1.03726625e-01
5.50e+14		2.00387427e+33		1.22800000e+06		1.21181527e-01
6.00e+14		2.30603839e+33		1.24000000e+06		1.38104925e-01
6.50e+14		2.59643725e+33		1.25000000e+06		1.54252473e-01
7.00e+14		2.87096819e+33		1.25600000e+06		1.69747372e-01
7.50e+14		3.12692642e+33		1.26000000e+06		1.84294101e-01
8.00e+14		3.36316103e+33		1.26200000e+06		1.97903113e-01
8.50e+14		3.57908908e+33		1.26000000e+06		2.10943565e-01
9.00e+14		3.77489831e+33		1.25800000e+06		2.22837836e-01
9.50e+14		3.95135422e+33		1.25600000e+06		2.33625714e-01
1.00e+15		4.10943441e+33		1.25200000e+06		2.43748551e-01
1.05e+15		4.25063124e+33		1.24600000e+06		2.53337631e-01
1.10e+15		4.37598366e+33		1.24000000e+06		2.62070613e-01
1.20e+15		4.58496028e+33		1.22800000e+06		2.77269136e-01
1.30e+15		4.74664672e+33		1.21400000e+06		2.90357161e-01
1.40e+15		4.87026907e+33		1.20000000e+06		3.01394989e-01
1.50e+15		4.96353091e+33		1.18600000e+06		3.10792378e-01
1.60e+15		5.03261354e+33		1.17200000e+06		3.18882208e-01
1.70e+15		5.08263846e+33		1.15800000e+06		3.25945490e-01
1.80e+15		5.11763866e+33		1.14400000e+06		3.32206336e-01
1.90e+15		5.14086881e+33		1.13200000e+06		3.37251906e-01
2.00e+15		5.15481983e+33		1.12000000e+06		3.41790341e-01
2.10e+15		5.16151384e+33		1.11000000e+06		3.45317378e-01
2.20e+15		5.16253736e+33		1.09800000e+06		3.49160563e-01
2.30e+15		5.15916562e+33		1.08800000e+06		3.52139621e-01
2.40e+15		5.15238869e+33		1.08000000e+06		3.54282076e-01
2.50e+15		5.14300881e+33		1.07000000e+06		3.56942128e-01
2.60e+15		5.13166138e+33		1.06200000e+06		3.58837475e-01
2.70e+15		5.11921493e+33		1.05400000e+06		3.60684161e-01
2.80e+15		5.11921500e+33		1.05400000e+06		3.60684166e-01
2.90e+15		5.11921507e+33		1.05400000e+06		3.60684171e-01
3.00e+15		5.11921514e+33		1.05400000e+06		3.60684176e-01
