rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.43176944e+32		1.22000000e+06		2.08892376e-02
2.25e+14		4.63325219e+32		1.19200000e+06		2.88651622e-02
2.50e+14		5.93390829e+32		1.19000000e+06		3.70303815e-02
2.75e+14		7.35928591e+32		1.19800000e+06		4.56187284e-02
3.00e+14		8.85819180e+32		1.21000000e+06		5.43655802e-02
3.25e+14		1.04552609e+33		1.22400000e+06		6.34333686e-02
3.50e+14		1.20914144e+33		1.23800000e+06		7.25305180e-02
3.75e+14		1.37812833e+33		1.25200000e+06		8.17428261e-02
4.00e+14		1.54724618e+33		1.26400000e+06		9.09026749e-02
4.25e+14		1.71747824e+33		1.27600000e+06		9.99550834e-02
4.50e+14		1.88465118e+33		1.28600000e+06		1.08831428e-01
4.75e+14		2.04957301e+33		1.29600000e+06		1.17441803e-01
5.00e+14		2.20919067e+33		1.30200000e+06		1.26004639e-01
5.50e+14		2.51274334e+33		1.31400000e+06		1.42009397e-01
6.00e+14		2.79082603e+33		1.32200000e+06		1.56770964e-01
6.50e+14		3.04173148e+33		1.32400000e+06		1.70607141e-01
7.00e+14		3.26566097e+33		1.32600000e+06		1.82890813e-01
7.50e+14		3.46395829e+33		1.32400000e+06		1.94289346e-01
8.00e+14		3.63860337e+33		1.32200000e+06		2.04393735e-01
8.50e+14		3.79023272e+33		1.31800000e+06		2.13557478e-01
9.00e+14		3.91363767e+33		1.31200000e+06		2.21519059e-01
9.50e+14		4.01892810e+33		1.30600000e+06		2.28523769e-01
1.00e+15		4.11051620e+33		1.30000000e+06		2.34810401e-01
1.05e+15		4.19053374e+33		1.29400000e+06		2.40491307e-01
1.10e+15		4.26054579e+33		1.28800000e+06		2.45648260e-01
1.20e+15		4.37545422e+33		1.27400000e+06		2.55045717e-01
1.30e+15		4.46329229e+33		1.25800000e+06		2.63474753e-01
1.40e+15		4.53001490e+33		1.24400000e+06		2.70422964e-01
1.50e+15		4.58011466e+33		1.23000000e+06		2.76525736e-01
1.60e+15		4.61704069e+33		1.21600000e+06		2.81964508e-01
1.70e+15		4.64347079e+33		1.20200000e+06		2.86881517e-01
1.80e+15		4.66149595e+33		1.18800000e+06		2.91389023e-01
1.90e+15		4.67277409e+33		1.17600000e+06		2.95074569e-01
2.00e+15		4.67861061e+33		1.16400000e+06		2.98488937e-01
2.10e+15		4.68005361e+33		1.15200000e+06		3.01691217e-01
2.20e+15		4.67795192e+33		1.14200000e+06		3.04196329e-01
2.30e+15		4.67297387e+33		1.13000000e+06		3.07099583e-01
2.40e+15		4.66568279e+33		1.12000000e+06		3.09358108e-01
2.50e+15		4.65652235e+33		1.11000000e+06		3.11532264e-01
2.60e+15		4.64587044e+33		1.10200000e+06		3.13076030e-01
2.70e+15		4.63401890e+33		1.09400000e+06		3.14560942e-01
2.80e+15		4.62121462e+33		1.08400000e+06		3.16585613e-01
2.90e+15		4.60767271e+33		1.07600000e+06		3.18004796e-01
3.00e+15		4.59355930e+33		1.06800000e+06		3.19405501e-01
