rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.84276134e+32		1.68200000e+06		1.25510115e-02
2.25e+14		3.51890147e+32		1.48600000e+06		1.75854147e-02
2.50e+14		4.33877292e+32		1.37600000e+06		2.34160052e-02
2.75e+14		5.32921270e+32		1.31000000e+06		3.02103722e-02
3.00e+14		6.51259361e+32		1.27600000e+06		3.79024796e-02
3.25e+14		7.90188091e+32		1.25600000e+06		4.67202501e-02
3.50e+14		9.49815779e+32		1.25000000e+06		5.64278736e-02
3.75e+14		1.12899536e+33		1.25000000e+06		6.70728041e-02
4.00e+14		1.32545343e+33		1.25800000e+06		7.82434784e-02
4.25e+14		1.53602845e+33		1.26600000e+06		9.01010542e-02
4.50e+14		1.75702092e+33		1.27800000e+06		1.02096392e-01
4.75e+14		1.89164404e+33		1.28400000e+06		1.09405388e-01
5.00e+14		2.01198221e+33		1.29000000e+06		1.15824049e-01
5.50e+14		2.27063450e+33		1.29800000e+06		1.29908288e-01
6.00e+14		2.55925461e+33		1.30400000e+06		1.45747200e-01
6.50e+14		2.81548840e+33		1.30600000e+06		1.60093936e-01
7.00e+14		3.04789324e+33		1.30800000e+06		1.73043912e-01
7.50e+14		3.26271636e+33		1.30600000e+06		1.85524155e-01
8.00e+14		3.45908564e+33		1.30400000e+06		1.96991751e-01
8.50e+14		3.63657927e+33		1.30000000e+06		2.07737081e-01
9.00e+14		3.79373317e+33		1.29400000e+06		2.17719247e-01
9.50e+14		3.92693701e+33		1.28800000e+06		2.26413537e-01
1.00e+15		4.04405040e+33		1.28200000e+06		2.34257149e-01
1.05e+15		4.14658919e+33		1.27600000e+06		2.41326300e-01
1.10e+15		4.23633796e+33		1.27000000e+06		2.47714367e-01
1.20e+15		4.38352527e+33		1.25600000e+06		2.59178035e-01
1.30e+15		4.49594393e+33		1.24000000e+06		2.69254840e-01
1.40e+15		4.58145926e+33		1.22600000e+06		2.77509386e-01
1.50e+15		4.64600931e+33		1.21200000e+06		2.84670048e-01
1.60e+15		4.69400753e+33		1.19800000e+06		2.90972055e-01
1.70e+15		4.72906135e+33		1.18600000e+06		2.96111025e-01
1.80e+15		4.75359718e+33		1.17200000e+06		3.01202854e-01
1.90e+15		4.76956373e+33		1.16000000e+06		3.05340902e-01
2.00e+15		4.77903319e+33		1.15000000e+06		3.08607534e-01
2.10e+15		4.77947799e+33		1.14800000e+06		3.09173951e-01
2.20e+15		4.77947793e+33		1.14800000e+06		3.09173947e-01
2.30e+15		4.77947787e+33		1.14800000e+06		3.09173943e-01
2.40e+15		4.77947780e+33		1.14800000e+06		3.09173939e-01
2.50e+15		4.77947774e+33		1.14800000e+06		3.09173934e-01
2.60e+15		4.77947767e+33		1.14800000e+06		3.09173930e-01
2.70e+15		4.77947760e+33		1.14800000e+06		3.09173926e-01
2.80e+15		4.77947754e+33		1.14800000e+06		3.09173922e-01
2.90e+15		4.77947747e+33		1.14800000e+06		3.09173917e-01
3.00e+15		4.77947030e+33		1.14600000e+06		3.09713023e-01
