rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.40724295e+32		1.22000000e+06		2.07399445e-02
2.25e+14		4.60674971e+32		1.19200000e+06		2.87000517e-02
2.50e+14		5.91066283e+32		1.19000000e+06		3.68853189e-02
2.75e+14		7.34654570e+32		1.19800000e+06		4.55397544e-02
3.00e+14		8.86262022e+32		1.21000000e+06		5.43927588e-02
3.25e+14		1.04848864e+33		1.22400000e+06		6.36131103e-02
3.50e+14		1.21524940e+33		1.23800000e+06		7.28969047e-02
3.75e+14		1.38808882e+33		1.25200000e+06		8.23336265e-02
4.00e+14		1.56152759e+33		1.26600000e+06		9.15967942e-02
4.25e+14		1.73658935e+33		1.27800000e+06		1.00909161e-01
4.50e+14		1.90886191e+33		1.28800000e+06		1.10058342e-01
4.75e+14		2.07918874e+33		1.29800000e+06		1.18955229e-01
5.00e+14		2.24429609e+33		1.30600000e+06		1.27614873e-01
5.50e+14		2.55901479e+33		1.31800000e+06		1.44185539e-01
6.00e+14		2.84803976e+33		1.32600000e+06		1.59502260e-01
6.50e+14		3.10933623e+33		1.33000000e+06		1.73612249e-01
7.00e+14		3.34291377e+33		1.33000000e+06		1.86654236e-01
7.50e+14		3.55004845e+33		1.33000000e+06		1.98219765e-01
8.00e+14		3.73269586e+33		1.32600000e+06		2.09046740e-01
8.50e+14		3.89312689e+33		1.32200000e+06		2.18691258e-01
9.00e+14		4.02998563e+33		1.31800000e+06		2.27066154e-01
9.50e+14		4.14482013e+33		1.31200000e+06		2.34604410e-01
1.00e+15		4.24447669e+33		1.30600000e+06		2.41348883e-01
1.05e+15		4.33138584e+33		1.29800000e+06		2.47808671e-01
1.10e+15		4.40752009e+33		1.29200000e+06		2.53335531e-01
1.20e+15		4.53278081e+33		1.27600000e+06		2.63802169e-01
1.30e+15		4.62890055e+33		1.26200000e+06		2.72384765e-01
1.40e+15		4.70220797e+33		1.24600000e+06		2.80251605e-01
1.50e+15		4.75750318e+33		1.23000000e+06		2.87235619e-01
1.60e+15		4.79847694e+33		1.21600000e+06		2.93044891e-01
1.70e+15		4.82798180e+33		1.20000000e+06		2.98778055e-01
1.80e+15		4.84826612e+33		1.18600000e+06		3.03575053e-01
1.90e+15		4.86108900e+33		1.17200000e+06		3.08013874e-01
2.00e+15		4.86785279e+33		1.16000000e+06		3.11633233e-01
2.10e+15		4.86965814e+33		1.14600000e+06		3.15557258e-01
2.20e+15		4.86739802e+33		1.13400000e+06		3.18748481e-01
2.30e+15		4.86176950e+33		1.12200000e+06		3.21785022e-01
2.40e+15		4.85332210e+33		1.11000000e+06		3.24698629e-01
2.50e+15		4.84247569e+33		1.09800000e+06		3.27513667e-01
2.60e+15		4.82951218e+33		1.08600000e+06		3.30246146e-01
2.70e+15		4.81455274e+33		1.07400000e+06		3.32901679e-01
2.80e+15		4.79770195e+33		1.06400000e+06		3.34854357e-01
2.90e+15		4.77877831e+33		1.05200000e+06		3.37338152e-01
3.00e+15		4.75712213e+33		1.03800000e+06		3.40338645e-01
