rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.41529586e+32		5.16200000e+06		3.47469472e-03
2.25e+14		2.18459022e+32		5.00400000e+06		3.24202979e-03
2.50e+14		1.92393720e+32		3.51000000e+06		4.07050314e-03
2.75e+14		2.14679496e+32		2.05600000e+06		7.75410673e-03
3.00e+14		2.82207850e+32		1.48200000e+06		1.41411655e-02
3.25e+14		3.80101072e+32		1.26800000e+06		2.22609738e-02
3.50e+14		5.01908854e+32		1.18000000e+06		3.15869118e-02
3.75e+14		6.43243705e+32		1.14600000e+06		4.16826426e-02
4.00e+14		7.99360363e+32		1.13600000e+06		5.22550895e-02
4.25e+14		9.68686431e+32		1.13800000e+06		6.32128356e-02
4.50e+14		1.14624265e+33		1.14600000e+06		7.42773269e-02
4.75e+14		1.32954725e+33		1.15800000e+06		8.52627890e-02
5.00e+14		1.51625586e+33		1.17000000e+06		9.62389660e-02
5.50e+14		1.89072004e+33		1.19200000e+06		1.17791863e-01
6.00e+14		2.25488783e+33		1.21200000e+06		1.38161373e-01
6.50e+14		2.59947104e+33		1.22800000e+06		1.57199418e-01
7.00e+14		2.91903386e+33		1.24000000e+06		1.74816236e-01
7.50e+14		3.21013879e+33		1.24600000e+06		1.91324279e-01
8.00e+14		3.47128398e+33		1.25200000e+06		2.05897054e-01
8.50e+14		3.70428285e+33		1.25400000e+06		2.19366811e-01
9.00e+14		3.90965979e+33		1.25400000e+06		2.31529188e-01
9.50e+14		4.08987020e+33		1.25200000e+06		2.42588112e-01
1.00e+15		4.24729374e+33		1.24800000e+06		2.52733045e-01
1.05e+15		4.38436046e+33		1.24600000e+06		2.61307893e-01
1.10e+15		4.50318603e+33		1.24000000e+06		2.69688558e-01
1.20e+15		4.69439544e+33		1.23000000e+06		2.83425471e-01
1.30e+15		4.83627825e+33		1.21600000e+06		2.95353433e-01
1.40e+15		4.94040799e+33		1.20400000e+06		3.04719780e-01
1.50e+15		5.01595578e+33		1.19200000e+06		3.12494056e-01
1.60e+15		5.06959355e+33		1.18000000e+06		3.19047578e-01
1.70e+15		5.10667056e+33		1.16800000e+06		3.24682825e-01
1.80e+15		5.13097029e+33		1.15600000e+06		3.29614254e-01
1.90e+15		5.14552684e+33		1.14400000e+06		3.34016670e-01
2.00e+15		5.15259009e+33		1.13400000e+06		3.37424689e-01
2.10e+15		5.15384922e+33		1.12400000e+06		3.40509878e-01
2.20e+15		5.15062424e+33		1.11400000e+06		3.43351536e-01
2.30e+15		5.14567734e+33		1.10800000e+06		3.44879284e-01
2.40e+15		5.14567739e+33		1.10800000e+06		3.44879287e-01
2.50e+15		5.14567744e+33		1.10800000e+06		3.44879290e-01
2.60e+15		5.14567749e+33		1.10800000e+06		3.44879293e-01
2.70e+15		5.14567754e+33		1.10800000e+06		3.44879297e-01
2.80e+15		5.14567256e+33		1.10600000e+06		3.45502614e-01
2.90e+15		5.14567261e+33		1.10600000e+06		3.45502617e-01
3.00e+15		5.14567266e+33		1.10600000e+06		3.45502621e-01
