rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.01920276e+32		2.34400000e+06		6.39715157e-03
2.25e+14		2.21712488e+32		1.94800000e+06		8.45211742e-03
2.50e+14		2.47666797e+32		1.68200000e+06		1.09346809e-02
2.75e+14		2.81184212e+32		1.49400000e+06		1.39767003e-02
3.00e+14		3.21899233e+32		1.36600000e+06		1.74998191e-02
3.25e+14		3.72085183e+32		1.27400000e+06		2.16888870e-02
3.50e+14		4.30838943e+32		1.21200000e+06		2.63983419e-02
3.75e+14		5.00744594e+32		1.16800000e+06		3.18374111e-02
4.00e+14		5.80487779e+32		1.13800000e+06		3.78804506e-02
4.25e+14		6.72918393e+32		1.12000000e+06		4.46178557e-02
4.50e+14		7.76254512e+32		1.11000000e+06		5.19332470e-02
4.75e+14		8.93408756e+32		1.10400000e+06		6.00959838e-02
5.00e+14		1.02198674e+33		1.10400000e+06		6.87449035e-02
5.50e+14		1.31824768e+33		1.11400000e+06		8.78771864e-02
6.00e+14		1.66047647e+33		1.13000000e+06		1.09123579e-01
6.50e+14		2.03795373e+33		1.14800000e+06		1.31830758e-01
7.00e+14		2.43434658e+33		1.16800000e+06		1.54776094e-01
7.50e+14		2.83005403e+33		1.18400000e+06		1.77503673e-01
8.00e+14		3.20578196e+33		1.19600000e+06		1.99052262e-01
8.50e+14		3.54608845e+33		1.20600000e+06		2.18356726e-01
9.00e+14		3.84169308e+33		1.21200000e+06		2.35388024e-01
9.50e+14		4.09004883e+33		1.21400000e+06		2.50192406e-01
1.00e+15		4.29421084e+33		1.21600000e+06		2.62249160e-01
1.05e+15		4.46075427e+33		1.21400000e+06		2.72868832e-01
1.10e+15		4.59754782e+33		1.21400000e+06		2.81236631e-01
1.20e+15		4.81004805e+33		1.20600000e+06		2.96187294e-01
1.30e+15		4.97274808e+33		1.19800000e+06		3.08250620e-01
1.40e+15		5.10439970e+33		1.18600000e+06		3.19612903e-01
1.50e+15		5.21148129e+33		1.17000000e+06		3.30780302e-01
1.60e+15		5.29629471e+33		1.15400000e+06		3.40824379e-01
1.70e+15		5.36053958e+33		1.13800000e+06		3.49808665e-01
1.80e+15		5.40635983e+33		1.12200000e+06		3.57829720e-01
1.90e+15		5.43641606e+33		1.10600000e+06		3.65024385e-01
2.00e+15		5.45363524e+33		1.09000000e+06		3.71555682e-01
2.10e+15		5.46091579e+33		1.07800000e+06		3.76193283e-01
2.20e+15		5.46087142e+33		1.06400000e+06		3.81140097e-01
2.30e+15		5.45573563e+33		1.05400000e+06		3.84394375e-01
2.40e+15		5.44728926e+33		1.04400000e+06		3.87475508e-01
2.50e+15		5.43689773e+33		1.03600000e+06		3.89722721e-01
2.60e+15		5.42556999e+33		1.02800000e+06		3.91937279e-01
2.70e+15		5.41400299e+33		1.02200000e+06		3.93397787e-01
2.80e+15		5.40266819e+33		1.01800000e+06		3.94116698e-01
2.90e+15		5.39187747e+33		1.01400000e+06		3.94881127e-01
3.00e+15		5.38179710e+33		1.01000000e+06		3.95703840e-01
