rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.40724295e+32		1.22000000e+06		2.07399445e-02
2.25e+14		4.61071292e+32		1.19200000e+06		2.87247425e-02
2.50e+14		5.95023082e+32		1.19000000e+06		3.71322418e-02
2.75e+14		7.45608598e+32		1.19800000e+06		4.62187725e-02
3.00e+14		9.05496255e+32		1.21200000e+06		5.54815207e-02
3.25e+14		1.07664592e+33		1.22800000e+06		6.51086739e-02
3.50e+14		1.25214539e+33		1.24400000e+06		7.47478484e-02
3.75e+14		1.43324853e+33		1.26000000e+06		8.44724864e-02
4.00e+14		1.61410800e+33		1.27400000e+06		9.40865361e-02
4.25e+14		1.79565782e+33		1.28600000e+06		1.03692401e-01
4.50e+14		1.97339781e+33		1.29800000e+06		1.12902684e-01
4.75e+14		2.14818164e+33		1.30800000e+06		1.21962853e-01
5.00e+14		2.31679174e+33		1.31600000e+06		1.30736070e-01
5.50e+14		2.63598473e+33		1.32800000e+06		1.47403954e-01
6.00e+14		2.92673788e+33		1.33600000e+06		1.62682819e-01
6.50e+14		3.18777595e+33		1.33800000e+06		1.76927766e-01
7.00e+14		3.41975439e+33		1.34000000e+06		1.89519733e-01
7.50e+14		3.62443283e+33		1.33800000e+06		2.01163072e-01
8.00e+14		3.80414418e+33		1.33600000e+06		2.11453476e-01
8.50e+14		3.96140010e+33		1.33000000e+06		2.21187910e-01
9.00e+14		4.09346601e+33		1.32600000e+06		2.29251392e-01
9.50e+14		4.20456716e+33		1.32000000e+06		2.36543860e-01
1.00e+15		4.30148684e+33		1.31200000e+06		2.43472032e-01
1.05e+15		4.38630119e+33		1.30600000e+06		2.49413289e-01
1.10e+15		4.46054117e+33		1.29800000e+06		2.55197948e-01
1.20e+15		4.58226562e+33		1.28400000e+06		2.65020552e-01
1.30e+15		4.67497983e+33		1.26800000e+06		2.73794554e-01
1.40e+15		4.74500453e+33		1.25200000e+06		2.81446997e-01
1.50e+15		4.79718584e+33		1.23600000e+06		2.88225493e-01
1.60e+15		4.83526243e+33		1.22200000e+06		2.93841520e-01
1.70e+15		4.86211524e+33		1.20600000e+06		2.99393425e-01
1.80e+15		4.87999936e+33		1.19200000e+06		3.04023971e-01
1.90e+15		4.89066460e+33		1.17800000e+06		3.08309500e-01
2.00e+15		4.89549566e+33		1.16600000e+06		3.11790184e-01
2.10e+15		4.89556407e+33		1.15200000e+06		3.15583710e-01
2.20e+15		4.89173134e+33		1.14000000e+06		3.18655973e-01
2.30e+15		4.88466293e+33		1.12800000e+06		3.21580583e-01
2.40e+15		4.87487423e+33		1.11600000e+06		3.24387073e-01
2.50e+15		4.86275198e+33		1.10400000e+06		3.27097605e-01
2.60e+15		4.84856172e+33		1.09200000e+06		3.29727073e-01
2.70e+15		4.83244160e+33		1.08000000e+06		3.32282276e-01
2.80e+15		4.81436888e+33		1.07000000e+06		3.34133410e-01
2.90e+15		4.79401374e+33		1.05600000e+06		3.37131765e-01
3.00e+15		4.77035555e+33		1.04400000e+06		3.39323993e-01
