rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.00320762e+32		1.51400000e+06		9.82572050e-03
2.25e+14		2.69914949e+32		1.29800000e+06		1.54424628e-02
2.50e+14		3.52622227e+32		1.20600000e+06		2.17133430e-02
2.75e+14		4.46098908e+32		1.16600000e+06		2.84116809e-02
3.00e+14		5.50184972e+32		1.14800000e+06		3.55902594e-02
3.25e+14		6.64094431e+32		1.14400000e+06		4.31090182e-02
3.50e+14		7.86854508e+32		1.14600000e+06		5.09887232e-02
3.75e+14		9.17278366e+32		1.15200000e+06		5.91306958e-02
4.00e+14		1.05403108e+33		1.16000000e+06		6.74776183e-02
4.25e+14		1.19600364e+33		1.17000000e+06		7.59120913e-02
4.50e+14		1.34185726e+33		1.17800000e+06		8.45912318e-02
4.75e+14		1.49033101e+33		1.18800000e+06		9.31602433e-02
5.00e+14		1.64033740e+33		1.19600000e+06		1.01851241e-01
5.50e+14		1.94091865e+33		1.21200000e+06		1.18923869e-01
6.00e+14		2.23624876e+33		1.22600000e+06		1.35454663e-01
6.50e+14		2.52096819e+33		1.23600000e+06		1.51465322e-01
7.00e+14		2.79078625e+33		1.24200000e+06		1.66866554e-01
7.50e+14		3.04349122e+33		1.24600000e+06		1.81392083e-01
8.00e+14		3.27724070e+33		1.25000000e+06		1.94698517e-01
8.50e+14		3.49180164e+33		1.25000000e+06		2.07445429e-01
9.00e+14		3.68697864e+33		1.24800000e+06		2.19391781e-01
9.50e+14		3.86355978e+33		1.24600000e+06		2.30268171e-01
1.00e+15		4.02239254e+33		1.24200000e+06		2.40506696e-01
1.05e+15		4.16458658e+33		1.23800000e+06		2.49813307e-01
1.10e+15		4.29137343e+33		1.23200000e+06		2.58672296e-01
1.20e+15		4.50392891e+33		1.22000000e+06		2.74154901e-01
1.30e+15		4.66978422e+33		1.20600000e+06		2.87550299e-01
1.40e+15		4.79754128e+33		1.19200000e+06		2.98886833e-01
1.50e+15		4.89472847e+33		1.17800000e+06		3.08565688e-01
1.60e+15		4.96755711e+33		1.16600000e+06		3.16379719e-01
1.70e+15		5.02105148e+33		1.15200000e+06		3.23673030e-01
1.80e+15		5.05919563e+33		1.13800000e+06		3.30144091e-01
1.90e+15		5.08517528e+33		1.12600000e+06		3.35375902e-01
2.00e+15		5.10158656e+33		1.11400000e+06		3.40082580e-01
2.10e+15		5.11045987e+33		1.10400000e+06		3.43759910e-01
2.20e+15		5.11340217e+33		1.09400000e+06		3.47101865e-01
2.30e+15		5.11170227e+33		1.08400000e+06		3.50187457e-01
2.40e+15		5.10638825e+33		1.07400000e+06		3.53080610e-01
2.50e+15		5.09829287e+33		1.06400000e+06		3.55834022e-01
2.60e+15		5.08804812e+33		1.05600000e+06		3.57809288e-01
2.70e+15		5.08028605e+33		1.05000000e+06		3.59304937e-01
2.80e+15		5.08028611e+33		1.05000000e+06		3.59304941e-01
2.90e+15		5.08028617e+33		1.05000000e+06		3.59304946e-01
3.00e+15		5.08028624e+33		1.05000000e+06		3.59304950e-01
