rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.84276134e+32		1.68200000e+06		1.25510115e-02
2.25e+14		3.51890147e+32		1.48600000e+06		1.75854147e-02
2.50e+14		4.33877292e+32		1.37600000e+06		2.34160052e-02
2.75e+14		5.32921270e+32		1.31000000e+06		3.02103722e-02
3.00e+14		6.51259361e+32		1.27600000e+06		3.79024796e-02
3.25e+14		7.90188091e+32		1.25600000e+06		4.67202501e-02
3.50e+14		9.49815779e+32		1.25000000e+06		5.64278736e-02
3.75e+14		1.12899536e+33		1.25000000e+06		6.70728041e-02
4.00e+14		1.32545343e+33		1.25800000e+06		7.82434784e-02
4.25e+14		1.53602845e+33		1.26600000e+06		9.01010542e-02
4.50e+14		1.75702092e+33		1.27800000e+06		1.02096392e-01
4.75e+14		1.98450915e+33		1.29000000e+06		1.14242504e-01
5.00e+14		2.21465884e+33		1.30000000e+06		1.26510858e-01
5.50e+14		2.66935608e+33		1.32000000e+06		1.50174743e-01
6.00e+14		2.96945576e+33		1.33000000e+06		1.65801912e-01
6.50e+14		3.18609265e+33		1.33400000e+06		1.77364577e-01
7.00e+14		3.37739303e+33		1.33600000e+06		1.87732499e-01
7.50e+14		3.54791267e+33		1.33600000e+06		1.97210839e-01
8.00e+14		3.69940204e+33		1.33200000e+06		2.06248893e-01
8.50e+14		3.83378874e+33		1.32800000e+06		2.14385012e-01
9.00e+14		3.95286309e+33		1.32400000e+06		2.21711442e-01
9.50e+14		4.05829053e+33		1.31600000e+06		2.29008480e-01
1.00e+15		4.15161594e+33		1.31000000e+06		2.35347827e-01
1.05e+15		4.23422672e+33		1.30200000e+06		2.41505732e-01
1.10e+15		4.30738895e+33		1.29400000e+06		2.47197532e-01
1.20e+15		4.43004600e+33		1.27800000e+06		2.57419652e-01
1.30e+15		4.52604570e+33		1.26200000e+06		2.66332336e-01
1.40e+15		4.60026271e+33		1.24600000e+06		2.74175667e-01
1.50e+15		4.65692229e+33		1.23000000e+06		2.81163018e-01
1.60e+15		4.69941159e+33		1.21400000e+06		2.87467740e-01
1.70e+15		4.73044983e+33		1.19800000e+06		2.93231040e-01
1.80e+15		4.75223453e+33		1.18400000e+06		2.98064656e-01
1.90e+15		4.76652046e+33		1.17000000e+06		3.02537991e-01
2.00e+15		4.77462869e+33		1.15800000e+06		3.06193073e-01
2.10e+15		4.77498914e+33		1.15800000e+06		3.06216189e-01
2.20e+15		4.77498909e+33		1.15800000e+06		3.06216185e-01
2.30e+15		4.77498372e+33		1.15600000e+06		3.06745626e-01
2.40e+15		4.77498366e+33		1.15600000e+06		3.06745623e-01
2.50e+15		4.77498361e+33		1.15600000e+06		3.06745619e-01
2.60e+15		4.77498356e+33		1.15600000e+06		3.06745616e-01
2.70e+15		4.77498350e+33		1.15600000e+06		3.06745612e-01
2.80e+15		4.77498345e+33		1.15600000e+06		3.06745609e-01
2.90e+15		4.77498340e+33		1.15600000e+06		3.06745605e-01
3.00e+15		4.77498334e+33		1.15600000e+06		3.06745602e-01
