rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.52461222e+32		2.34200000e+06		8.00519853e-03
2.25e+14		2.83750577e+32		1.94800000e+06		1.08171317e-02
2.50e+14		3.24318636e+32		1.69200000e+06		1.42342918e-02
2.75e+14		3.76940301e+32		1.51600000e+06		1.84645059e-02
3.00e+14		4.41365185e+32		1.40000000e+06		2.34117757e-02
3.25e+14		5.22144531e+32		1.31800000e+06		2.94197949e-02
3.50e+14		6.18171801e+32		1.26600000e+06		3.62610021e-02
3.75e+14		7.34772074e+32		1.23200000e+06		4.42900583e-02
4.00e+14		8.69714440e+32		1.21400000e+06		5.32013082e-02
4.25e+14		1.02849995e+33		1.20600000e+06		6.33317202e-02
4.50e+14		1.20706604e+33		1.20400000e+06		7.44507130e-02
4.75e+14		1.40996934e+33		1.21000000e+06		8.65343663e-02
5.00e+14		1.63071948e+33		1.21800000e+06		9.94251578e-02
5.50e+14		2.12440779e+33		1.24000000e+06		1.27227360e-01
6.00e+14		2.65442184e+33		1.26400000e+06		1.55950649e-01
6.50e+14		3.17703464e+33		1.28600000e+06		1.83461652e-01
7.00e+14		3.65145698e+33		1.30000000e+06		2.08586960e-01
7.50e+14		4.05144051e+33		1.31000000e+06		2.29669057e-01
8.00e+14		4.36997021e+33		1.31600000e+06		2.46596498e-01
8.50e+14		4.61585007e+33		1.31600000e+06		2.60471447e-01
9.00e+14		4.80596566e+33		1.31600000e+06		2.71199629e-01
9.50e+14		4.95771357e+33		1.31200000e+06		2.80615667e-01
1.00e+15		5.08468073e+33		1.30800000e+06		2.88682370e-01
1.05e+15		5.19560219e+33		1.30400000e+06		2.95884774e-01
1.10e+15		5.29526255e+33		1.29800000e+06		3.02954302e-01
1.20e+15		5.46835782e+33		1.28200000e+06		3.16762103e-01
1.30e+15		5.60937267e+33		1.26200000e+06		3.30080035e-01
1.40e+15		5.71856505e+33		1.23800000e+06		3.43028922e-01
1.50e+15		5.79727915e+33		1.21600000e+06		3.54042139e-01
1.60e+15		5.84899011e+33		1.19600000e+06		3.63173394e-01
1.70e+15		5.87868361e+33		1.17600000e+06		3.71224886e-01
1.80e+15		5.89180361e+33		1.15800000e+06		3.77836596e-01
1.90e+15		5.89336194e+33		1.14400000e+06		3.82561629e-01
2.00e+15		5.88746806e+33		1.13000000e+06		3.86913995e-01
2.10e+15		5.87722759e+33		1.12000000e+06		3.89689590e-01
2.20e+15		5.86482870e+33		1.11200000e+06		3.91665089e-01
2.30e+15		5.85172522e+33		1.10400000e+06		3.93621824e-01
2.40e+15		5.83883102e+33		1.09800000e+06		3.94900682e-01
2.50e+15		5.82667145e+33		1.09000000e+06		3.96970606e-01
2.60e+15		5.81552138e+33		1.08600000e+06		3.97670293e-01
2.70e+15		5.80548260e+33		1.08400000e+06		3.97716275e-01
2.80e+15		5.79656189e+33		1.08000000e+06		3.98575904e-01
2.90e+15		5.78869903e+33		1.07800000e+06		3.98773717e-01
3.00e+15		5.78181714e+33		1.07600000e+06		3.99039970e-01
