rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.40724295e+32		1.22000000e+06		2.07399445e-02
2.25e+14		4.61071292e+32		1.19200000e+06		2.87247425e-02
2.50e+14		5.95023082e+32		1.19000000e+06		3.71322418e-02
2.75e+14		7.45608598e+32		1.19800000e+06		4.62187725e-02
3.00e+14		9.05496255e+32		1.21200000e+06		5.54815207e-02
3.25e+14		1.07664592e+33		1.22800000e+06		6.51086739e-02
3.50e+14		1.25214539e+33		1.24400000e+06		7.47478484e-02
3.75e+14		1.43324853e+33		1.26000000e+06		8.44724864e-02
4.00e+14		1.61410800e+33		1.27400000e+06		9.40865361e-02
4.25e+14		1.79565782e+33		1.28600000e+06		1.03692401e-01
4.50e+14		1.97339781e+33		1.29800000e+06		1.12902684e-01
4.75e+14		2.14818164e+33		1.30800000e+06		1.21962853e-01
5.00e+14		2.31679174e+33		1.31600000e+06		1.30736070e-01
5.50e+14		2.63598473e+33		1.32800000e+06		1.47403954e-01
6.00e+14		2.92673788e+33		1.33600000e+06		1.62682819e-01
6.50e+14		3.18777595e+33		1.33800000e+06		1.76927766e-01
7.00e+14		3.41975439e+33		1.34000000e+06		1.89519733e-01
7.50e+14		3.62443283e+33		1.33800000e+06		2.01163072e-01
8.00e+14		3.80414418e+33		1.33600000e+06		2.11453476e-01
8.50e+14		3.96140010e+33		1.33000000e+06		2.21187910e-01
9.00e+14		4.09870511e+33		1.32600000e+06		2.29544804e-01
9.50e+14		4.21839859e+33		1.31800000e+06		2.37682125e-01
1.00e+15		4.32263429e+33		1.31200000e+06		2.44669017e-01
1.05e+15		4.41332696e+33		1.30400000e+06		2.51334918e-01
1.10e+15		4.49218078e+33		1.29800000e+06		2.57008124e-01
1.20e+15		4.62011491e+33		1.28200000e+06		2.67626472e-01
1.30e+15		4.71618536e+33		1.26600000e+06		2.76644141e-01
1.40e+15		4.78774457e+33		1.25000000e+06		2.84436468e-01
1.50e+15		4.84033063e+33		1.23600000e+06		2.90817727e-01
1.60e+15		4.87811832e+33		1.22000000e+06		2.96931872e-01
1.70e+15		4.90429397e+33		1.20600000e+06		3.01990655e-01
1.80e+15		4.92128705e+33		1.19400000e+06		3.06082633e-01
1.90e+15		4.93095720e+33		1.18000000e+06		3.10322698e-01
2.00e+15		4.93476405e+33		1.16800000e+06		3.13752986e-01
2.10e+15		4.93382399e+33		1.15400000e+06		3.17498853e-01
2.20e+15		4.92902194e+33		1.14200000e+06		3.20522827e-01
2.30e+15		4.92104129e+33		1.13200000e+06		3.22830754e-01
2.40e+15		4.91039744e+33		1.12000000e+06		3.25583914e-01
2.50e+15		4.89748187e+33		1.10800000e+06		3.28244452e-01
2.60e+15		4.88257137e+33		1.09800000e+06		3.30225478e-01
2.70e+15		4.86580243e+33		1.08600000e+06		3.32727704e-01
2.80e+15		4.84718057e+33		1.07600000e+06		3.34534756e-01
2.90e+15		4.82644626e+33		1.06400000e+06		3.36860559e-01
3.00e+15		4.80281055e+33		1.05200000e+06		3.39034609e-01
