rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.37175100e+32		1.49000000e+06		1.68048076e-02
2.25e+14		4.08289824e+32		1.39000000e+06		2.18131343e-02
2.50e+14		4.89837034e+32		1.33000000e+06		2.73504385e-02
2.75e+14		5.84066835e+32		1.29200000e+06		3.35710056e-02
3.00e+14		6.92328398e+32		1.26800000e+06		4.05468584e-02
3.25e+14		8.15183292e+32		1.25600000e+06		4.81981033e-02
3.50e+14		9.52438542e+32		1.25000000e+06		5.65836901e-02
3.75e+14		1.10326047e+33		1.25000000e+06		6.55439125e-02
4.00e+14		1.26625586e+33		1.25400000e+06		7.49873922e-02
4.25e+14		1.43957584e+33		1.26000000e+06		8.48454041e-02
4.50e+14		1.62100761e+33		1.26600000e+06		9.50858000e-02
4.75e+14		1.80813779e+33		1.27400000e+06		1.05396554e-01
5.00e+14		1.99846414e+33		1.28200000e+06		1.15763768e-01
5.50e+14		2.37891106e+33		1.29600000e+06		1.36313077e-01
6.00e+14		2.74486857e+33		1.30800000e+06		1.55839709e-01
6.50e+14		3.08358407e+33		1.31400000e+06		1.74270849e-01
7.00e+14		3.38779773e+33		1.32000000e+06		1.90593401e-01
7.50e+14		3.65497054e+33		1.32000000e+06		2.05624220e-01
8.00e+14		3.88592494e+33		1.32000000e+06		2.18617435e-01
8.50e+14		4.08342932e+33		1.31800000e+06		2.30077394e-01
9.00e+14		4.25113958e+33		1.31400000e+06		2.40256041e-01
9.50e+14		4.39292501e+33		1.30800000e+06		2.49407991e-01
1.00e+15		4.51246604e+33		1.30400000e+06		2.56980798e-01
1.05e+15		4.61308053e+33		1.29800000e+06		2.63925080e-01
1.10e+15		4.69765910e+33		1.29000000e+06		2.70430770e-01
1.20e+15		4.82825286e+33		1.27800000e+06		2.80558525e-01
1.30e+15		4.91976052e+33		1.26400000e+06		2.89042169e-01
1.40e+15		4.98311303e+33		1.25200000e+06		2.95570256e-01
1.50e+15		5.02598181e+33		1.24000000e+06		3.00997955e-01
1.60e+15		5.05379478e+33		1.22800000e+06		3.05621254e-01
1.70e+15		5.07042951e+33		1.21600000e+06		3.09653143e-01
1.80e+15		5.07870087e+33		1.20600000e+06		3.12730071e-01
1.90e+15		5.08066115e+33		1.19600000e+06		3.15466588e-01
2.00e+15		5.07783423e+33		1.18600000e+06		3.17949501e-01
2.10e+15		5.07136708e+33		1.17600000e+06		3.20244768e-01
2.20e+15		5.06212869e+33		1.16800000e+06		3.21850847e-01
2.30e+15		5.05077776e+33		1.16000000e+06		3.23343837e-01
2.40e+15		5.03782505e+33		1.15200000e+06		3.24754308e-01
2.50e+15		5.02366710e+33		1.14400000e+06		3.26106267e-01
2.60e+15		5.00861922e+33		1.13800000e+06		3.26843665e-01
2.70e+15		4.99291322e+33		1.13000000e+06		3.28125432e-01
2.80e+15		4.97675313e+33		1.12400000e+06		3.28809310e-01
2.90e+15		4.96028541e+33		1.11800000e+06		3.29480093e-01
3.00e+15		4.94363060e+33		1.11200000e+06		3.30145622e-01
